"ISP (UTC)","Area","Reserve Type","Regulation Up - Accepted [17.1.D] (MW)","Regulation Up - Activated [17.1.E] (MWh)","Regulation Down - Accepted [17.1.D] (MW)","Regulation Down - Activated [17.1.E] (MWh)"
"03/01/2024 05:00 - 03/01/2024 06:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2024 05:00 - 03/01/2024 06:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2024 06:00 - 03/01/2024 07:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2024 06:00 - 03/01/2024 07:00","MBA|NO1","aFRR","0.00","0.00","60.00","0.59"
"03/01/2024 06:00 - 03/01/2024 07:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2024 06:00 - 03/01/2024 07:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2024 07:00 - 03/01/2024 08:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2024 07:00 - 03/01/2024 08:00","MBA|NO1","aFRR","0.00","0.00","60.00","50.77"
"03/01/2024 07:00 - 03/01/2024 08:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2024 07:00 - 03/01/2024 08:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2024 08:00 - 03/01/2024 09:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2024 08:00 - 03/01/2024 09:00","MBA|NO1","aFRR","0.00","0.00","60.00","13.68"
"03/01/2024 08:00 - 03/01/2024 09:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2024 08:00 - 03/01/2024 09:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2024 09:00 - 03/01/2024 10:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2024 09:00 - 03/01/2024 10:00","MBA|NO1","aFRR","0.00","0.00","58.00","35.01"
"03/01/2024 09:00 - 03/01/2024 10:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2024 09:00 - 03/01/2024 10:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2024 10:00 - 03/01/2024 11:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2024 10:00 - 03/01/2024 11:00","MBA|NO1","aFRR","0.00","0.00","60.00","51.51"
"03/01/2024 10:00 - 03/01/2024 11:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2024 10:00 - 03/01/2024 11:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2024 11:00 - 03/01/2024 12:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2024 11:00 - 03/01/2024 12:00","MBA|NO1","aFRR","0.00","0.00","60.00","2.09"
"03/01/2024 11:00 - 03/01/2024 12:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2024 11:00 - 03/01/2024 12:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2024 12:00 - 03/01/2024 13:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2024 12:00 - 03/01/2024 13:00","MBA|NO1","aFRR","0.00","0.00","60.00","0.00"
"03/01/2024 12:00 - 03/01/2024 13:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2024 12:00 - 03/01/2024 13:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2024 13:00 - 03/01/2024 14:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
"03/01/2024 13:00 - 03/01/2024 14:00","MBA|NO1","aFRR","0.00","0.00","60.00","0.55"
"03/01/2024 13:00 - 03/01/2024 14:00","MBA|NO1","mFRR","n/e","n/e","n/e","n/e"
"03/01/2024 13:00 - 03/01/2024 14:00","MBA|NO1","RR","n/e","n/e","n/e","n/e"
"03/01/2024 14:00 - 03/01/2024 15:00","MBA|NO1","FCR","n/e","n/e","n/e","n/e"
